,S.No,USERNAME,Caption,Followers,Hashtags,Time since posted,Likes
0,1,mikequindazzi,Who are #DataScientist and what do they do? >> @MikeQuindazzi >> #MachineLearning #AI #DataAnalytics #DataScienc #DataLake >> https://buff.ly/2kYmF0s,1600,#MachineLearning #AI #DataAnalytics #DataScienc #DataLake,11 hours,139
1,2,drgorillapaints,We all know where it’s going. We just have to #workresponsibly to postpone the date. This actually made into a business slide #deck .#mac #macintosh#sayhello #apple #stevejobs #ai #evolution#artificialintelligence #machinelearning#terminator #illbeback #technology#computerevolution #computerscience#sciencefiction#computersciencetosciencefiction#tomorrowstechnology #vr #ar #robot#robots #t2 #businessdeck #businessslides#illustration #sketches #drawing,880, #deck .#mac #macintosh#sayhello #apple #stevejobs #ai #evolution#artificialintelligence #machinelearning#terminator #illbeback #technology#computerevolution #computerscience#sciencefiction#computersciencetosciencefiction#tomorrowstechnology #vr #ar #robot#robots #t2 #businessdeck #businessslides#illustration #sketches #drawing,2 hours,23
2,3,aitrading_official,"Alexander Barinov: 4 years as CFO in multinationals, over 10 years of experience as financial advisory in Deloitte & EY, 6 of them as a partner. Focused on strategic management, finance, legal, and compliance. Worked for the global corporations including publicly traded companies. 5 years experience in trading at NYSE and LSE exchanges. #whoiswho #aitrading #ai #aitradingteam#instateam #instapeople #ai #trading#artificialintelligence #crypto#cryptocurrency #blockchain #tradingforex#forex #fiatmoney #coins #machinelearning#userexperience #instamachinelearning#instabigdata #instamarketing#artificialintelligence #deeplearning#datascience #industry #marketing#bigdata #datascience #machinelearning#ml",255,#whoiswho #aitrading #ai #aitradingteam#instateam #instapeople #ai #trading#artificialintelligence #crypto#cryptocurrency #blockchain #tradingforex#forex #fiatmoney #coins #machinelearning#userexperience #instamachinelearning#instabigdata #instamarketing#artificialintelligence #deeplearning#datascience #industry #marketing#bigdata #datascience #machinelearning#ml,2 hours,25
3,4,opensourcedworkplace,sfad,340,#iot #cre#workplace #CDO #bigdata #technology#tech #work #computerscience #blockchain#softwaredeveloper #machinelearning#smartcity #artificialintelligence#futureofwork #opensource #cybersecurity#ai #softwareengineer #engineering#smartcities #developer #autonomous#singularity #webdeveloper#cryptocurrency #programmers #crypto#iiot #robot,3 hours,49
4,5,crea.vision,"Ever missed a call while your phone was charging? Our system can notify you about the incoming call and offer to take it hands free. You’ll be able to walk around the house and carry on your conversation without carrying the phone with you. Listen to music, stream, or watch TV in a seamless flow from one room to another.",304,#instamachinelearning #instabigdata#instamarketing #artificialintelligence#industry #deeplearning #datascience#marketing #machinelearning #bigdata#artificialintelligence #instadaily #tech#software #softwareengineer #technology#crea.vision #techy #artificial #artificiale#ipictureoftheday #marketingdigital #digital#live #better #enjoy,3 hours,30
5,6,be.masterly,"Cyber attacks are more frequent every day and they can affect businesses of all sizes from all around the world. In the #bemasterly course, you’ll learn first-hand how to plan ahead and prevent potential attacks, how to detect an attack and importantly how to respond from a legal, public, internal and technical perspective https://buff.ly/2EeE0JS",1231,#edtech #learning#educationtechnology #tech #learnnewskills #onlinelearning #teach #study #lifelonglearning #bigdata #chatbot #digitalliteracy #entrepreneurship #entrepreneur #startup #startupaus #studying #entrepreneur #machinelearning #coach #tech#techstartup #blockchain #videocourse #analytics,3 hours,18
6,7,lenovoworkstations,Check it out – we’re walking across the 🌎’s first #3DPrintedbridge w/ smart sensors for real-time data in #VR with #ThinkRevolutionist@MX3DBridge #NXTBLD .,259,.#Tech #virtualreality #IoT #Machinelearning,3 hours,35
7,8,kirellb,"Here's a network I made that depicts the scientific collaboration at #EPFL. Based on Infoscience, the online archive of publications on the campus, authors are connected if they have co-published a paper.",1433,#datascientist #creativetechnology#design #artwork #dataartwork #dataart#innovation #tech #startup#machinelearning #deeplearning #IA #data#bigdata #modernart #contemporaryart#painting #datascience,4 hours,86
8,9,ethicsandai,"Having a great week at @ldntechweek exploring what's new in the world of technology and listening to what the speakers have to say. It's so great, (and interesting!), to see so many people with a passion and common insterest gather on one place to discuss our world's future, and how technology will play it's part. @techxlr8",13,#LTW #London #TechXLR8 #Technology#AI #ArtificialIntelligence #MachineLearning#Data #Future #Ethics #HumanRights#WomenInTech #WomenInSTEM #OurWorld#LondonTechWeek #EthicalTech#EthicsAndAI,4 hours,22
9,10,diworksolucionesdeti,The Internet of Things : A Very Short Story [#Infographic] #Wearable #Sensors #MachineLearning#IoT #BigData #DigitalTransformation#futureofwork #marketing #analytics#bigdata #Cloud #Blogging#ContentMarketing #DigitalMarketing ht: #BigData #MachineLearning #AI #IoT#infograp,450,[#Infographic] #Wearable #Sensors #MachineLearning#IoT #BigData #DigitalTransformation#futureofwork #marketing #analytics#bigdata #Cloud #Blogging#ContentMarketing #DigitalMarketing ht: #BigData #MachineLearning #AI #IoT#infograp,7 hours,18
10,11,databowl,Today we are featured in The Future CMO Magazine in @thetimes@raconteur_london Go get a copy! Read more here: https://www.raconteur.net/sponsored/how-to-use-machine-learning-the-right-way-tool-for-a-new-marketing-paradigm ,149,#artificialintelligence #futurism#machinelearning #marketing#b2cmarketing #thetimes #thedrum#hubspot #leadgeneration,7 hours,31
11,13,edwisor_india,The IT industry is rapidly booming. Is your career booming along with it? Learn the right technologies to be a part of this fast-growing industry. Start free trial towards your dream career here: https://goo.gl/V92v5M,2232,#WedenesdayWisdom #IndustryInsights#GetSkilledGetHired #reskill #careergoals#DataScience #MachineLearning#MeanStack #WebDevelopment#careergrowth #technology #futuretrends#software #startup #GetSkilled #GetHired#edWisor #DreamJob,8 hours,48
12,14,ubiqum,Just an average day for a programmer 😖 #workthroughit .,1061,#webdevelopment #coding #programming#codinglife #code #100daysofcode #java#programmerhumor #javascript #html#cursosbarcelona #berlin #css#datascience #stem #workgoals#officegoals #learning #machinelearning#getitdone #anotherday #instagood#dataanalysis #education #motivation#barcelona #careers #careeradvice,9 hours,80
